miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-1249	6	0.52115	N	TCGA-G4-6303-01A
hsa-mir-1538	0	0.0	N	TCGA-G4-6303-01A
hsa-mir-1976	67	5.819503	N	TCGA-G4-6303-01A
hsa-mir-2110	25	2.171456	N	TCGA-G4-6303-01A
hsa-mir-326	38	3.300614	N	TCGA-G4-6303-01A
hsa-mir-346	1	0.086858	N	TCGA-G4-6303-01A
hsa-mir-3653	69	5.99322	N	TCGA-G4-6303-01A
hsa-mir-375	121166	10524.267763	N	TCGA-G4-6303-01A
hsa-mir-484	217	18.848242	N	TCGA-G4-6303-01A
hsa-mir-760	15	1.302874	N	TCGA-G4-6303-01A
hsa-mir-1249	3	1.438218	N	TCGA-AA-3655-01A
hsa-mir-1538	0	0.0	N	TCGA-AA-3655-01A
hsa-mir-1976	7	3.355843	N	TCGA-AA-3655-01A
hsa-mir-2110	3	1.438218	N	TCGA-AA-3655-01A
hsa-mir-326	9	4.314655	N	TCGA-AA-3655-01A
hsa-mir-346	0	0.0	N	TCGA-AA-3655-01A
hsa-mir-3653	7	3.355843	N	TCGA-AA-3655-01A
hsa-mir-375	74807	35862.935864	N	TCGA-AA-3655-01A
hsa-mir-484	91	43.62596	N	TCGA-AA-3655-01A
hsa-mir-760	2	0.958812	N	TCGA-AA-3655-01A
hsa-mir-1249	4	0.737836	N	TCGA-AZ-6608-01A
hsa-mir-1538	1	0.184459	N	TCGA-AZ-6608-01A
hsa-mir-1976	59	10.883085	N	TCGA-AZ-6608-01A
hsa-mir-2110	17	3.135804	N	TCGA-AZ-6608-01A
hsa-mir-326	30	5.533772	N	TCGA-AZ-6608-01A
hsa-mir-346	0	0.0	N	TCGA-AZ-6608-01A
hsa-mir-3653	39	7.193904	N	TCGA-AZ-6608-01A
hsa-mir-375	137633	25387.654561	N	TCGA-AZ-6608-01A
hsa-mir-484	446	82.268743	N	TCGA-AZ-6608-01A
hsa-mir-760	18	3.320263	N	TCGA-AZ-6608-01A
hsa-mir-1249	0	0.0	N	TCGA-AA-3510-01A
hsa-mir-1538	1	0.590885	N	TCGA-AA-3510-01A
hsa-mir-1976	10	5.908852	N	TCGA-AA-3510-01A
hsa-mir-2110	2	1.18177	N	TCGA-AA-3510-01A
hsa-mir-326	6	3.545311	N	TCGA-AA-3510-01A
hsa-mir-346	1	0.590885	N	TCGA-AA-3510-01A
hsa-mir-3653	18	10.635934	N	TCGA-AA-3510-01A
hsa-mir-375	56554	33416.923899	N	TCGA-AA-3510-01A
hsa-mir-484	64	37.816655	N	TCGA-AA-3510-01A
hsa-mir-760	1	0.590885	N	TCGA-AA-3510-01A
hsa-mir-1249	4	1.09396	N	TCGA-CK-4950-01A
hsa-mir-1538	0	0.0	N	TCGA-CK-4950-01A
hsa-mir-1976	47	12.854033	N	TCGA-CK-4950-01A
hsa-mir-2110	12	3.281881	N	TCGA-CK-4950-01A
hsa-mir-326	20	5.469801	N	TCGA-CK-4950-01A
hsa-mir-346	1	0.27349	N	TCGA-CK-4950-01A
hsa-mir-3653	15	4.102351	N	TCGA-CK-4950-01A
hsa-mir-375	203581	55677.380184	N	TCGA-CK-4950-01A
hsa-mir-484	189	51.689622	N	TCGA-CK-4950-01A
hsa-mir-760	2	0.54698	N	TCGA-CK-4950-01A
hsa-mir-1249	6	0.953304	N	TCGA-A6-5660-01A
hsa-mir-1538	0	0.0	N	TCGA-A6-5660-01A
hsa-mir-1976	44	6.990899	N	TCGA-A6-5660-01A
hsa-mir-2110	8	1.271073	N	TCGA-A6-5660-01A
hsa-mir-326	5	0.79442	N	TCGA-A6-5660-01A
hsa-mir-346	0	0.0	N	TCGA-A6-5660-01A
hsa-mir-3653	11	1.747725	N	TCGA-A6-5660-01A
hsa-mir-375	135771	21571.849682	N	TCGA-A6-5660-01A
hsa-mir-484	180	28.599133	N	TCGA-A6-5660-01A
hsa-mir-760	10	1.588841	N	TCGA-A6-5660-01A
hsa-mir-1249	24	4.330603	N	TCGA-CM-6171-01A
hsa-mir-1538	1	0.180442	N	TCGA-CM-6171-01A
hsa-mir-1976	33	5.954578	N	TCGA-CM-6171-01A
hsa-mir-2110	24	4.330603	N	TCGA-CM-6171-01A
hsa-mir-326	35	6.315462	N	TCGA-CM-6171-01A
hsa-mir-346	0	0.0	N	TCGA-CM-6171-01A
hsa-mir-3653	10	1.804418	N	TCGA-CM-6171-01A
hsa-mir-375	970107	175047.826092	N	TCGA-CM-6171-01A
hsa-mir-484	136	24.540081	N	TCGA-CM-6171-01A
hsa-mir-760	16	2.887068	N	TCGA-CM-6171-01A
hsa-mir-1249	3	1.585822	N	TCGA-AA-3875-01A
