miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	Sample ID
hsa-mir-301b	1	0.75768	N	TCGA-A8-A0A9-01A
hsa-mir-375	40721	30853.47309	N	TCGA-A8-A0A9-01A
hsa-mir-429	253	191.692952	N	TCGA-A8-A0A9-01A
hsa-mir-592	9	6.819117	N	TCGA-A8-A0A9-01A
hsa-mir-190b	54	22.519817	N	TCGA-D8-A1JC-01A
hsa-mir-301b	6	2.502202	N	TCGA-D8-A1JC-01A
hsa-mir-375	20298	8464.949155	N	TCGA-D8-A1JC-01A
hsa-mir-429	179	74.649024	N	TCGA-D8-A1JC-01A
hsa-mir-592	10	4.170337	N	TCGA-D8-A1JC-01A
hsa-mir-190b	51	18.577956	N	TCGA-BH-A42T-01A
hsa-mir-301b	4	1.457095	N	TCGA-BH-A42T-01A
hsa-mir-375	33438	12180.582102	N	TCGA-BH-A42T-01A
hsa-mir-429	187	68.119171	N	TCGA-BH-A42T-01A
hsa-mir-592	7	2.549916	N	TCGA-BH-A42T-01A
hsa-mir-190b	85	37.83869	N	TCGA-A8-A0A2-01A
hsa-mir-301b	0	0.0	N	TCGA-A8-A0A2-01A
hsa-mir-375	24438	10878.845858	N	TCGA-A8-A0A2-01A
hsa-mir-429	653	290.690169	N	TCGA-A8-A0A2-01A
hsa-mir-592	25	11.129026	N	TCGA-A8-A0A2-01A
hsa-mir-190b	2	1.695967	N	TCGA-A2-A0EQ-01A
hsa-mir-301b	1	0.847984	N	TCGA-A2-A0EQ-01A
hsa-mir-375	25504	21626.975378	N	TCGA-A2-A0EQ-01A
hsa-mir-429	624	529.141807	N	TCGA-A2-A0EQ-01A
hsa-mir-592	10	8.479837	N	TCGA-A2-A0EQ-01A
hsa-mir-190b	268	43.51177	N	TCGA-S3-AA17-01A
hsa-mir-301b	4	0.649429	N	TCGA-S3-AA17-01A
hsa-mir-375	127519	20703.647017	N	TCGA-S3-AA17-01A
hsa-mir-429	520	84.425822	N	TCGA-S3-AA17-01A
hsa-mir-592	22	3.571862	N	TCGA-S3-AA17-01A
hsa-mir-190b	126	51.856974	N	TCGA-C8-A1HM-01A
hsa-mir-301b	6	2.46938	N	TCGA-C8-A1HM-01A
hsa-mir-375	27882	11475.207428	N	TCGA-C8-A1HM-01A
hsa-mir-429	247	101.656131	N	TCGA-C8-A1HM-01A
hsa-mir-592	3	1.23469	N	TCGA-C8-A1HM-01A
hsa-mir-190b	36	28.532593	N	TCGA-B6-A0RQ-01A
hsa-mir-301b	0	0.0	N	TCGA-B6-A0RQ-01A
hsa-mir-375	11429	9058.30556	N	TCGA-B6-A0RQ-01A
hsa-mir-429	64	50.724609	N	TCGA-B6-A0RQ-01A
hsa-mir-592	0	0.0	N	TCGA-B6-A0RQ-01A
hsa-mir-190b	7	4.184736	N	TCGA-AQ-A04J-01A
hsa-mir-301b	1	0.597819	N	TCGA-AQ-A04J-01A
hsa-mir-375	7350	4393.972546	N	TCGA-AQ-A04J-01A
hsa-mir-429	699	417.875756	N	TCGA-AQ-A04J-01A
hsa-mir-592	45	26.901873	N	TCGA-AQ-A04J-01A
hsa-mir-190b	62	10.745361	N	TCGA-AO-A03V-01A
hsa-mir-301b	2	0.346625	N	TCGA-AO-A03V-01A
hsa-mir-375	45178	7829.901635	N	TCGA-AO-A03V-01A
hsa-mir-429	705	122.185149	N	TCGA-AO-A03V-01A
hsa-mir-592	5	0.866561	N	TCGA-AO-A03V-01A
hsa-mir-190b	90	76.117468	N	TCGA-A8-A083-01A
hsa-mir-301b	0	0.0	N	TCGA-A8-A083-01A
hsa-mir-375	21056	17808.104481	N	TCGA-A8-A083-01A
hsa-mir-429	350	296.012375	N	TCGA-A8-A083-01A
hsa-mir-592	13	10.994745	N	TCGA-A8-A083-01A
hsa-mir-190b	5	1.049228	N	TCGA-OL-A5RW-01A
hsa-mir-301b	24	5.036293	N	TCGA-OL-A5RW-01A
hsa-mir-375	31042	6514.025026	N	TCGA-OL-A5RW-01A
hsa-mir-429	2030	425.986431	N	TCGA-OL-A5RW-01A
hsa-mir-592	27	5.665829	N	TCGA-OL-A5RW-01A
hsa-mir-190b	10	2.862679	N	TCGA-A2-A04W-01A
hsa-mir-301b	6	1.717608	N	TCGA-A2-A04W-01A
hsa-mir-375	62950	18020.56606	N	TCGA-A2-A04W-01A
hsa-mir-429	292	83.590235	N	TCGA-A2-A04W-01A
hsa-mir-592	2	0.572536	N	TCGA-A2-A04W-01A
hsa-mir-190b	66	22.10223	N	TCGA-V7-A7HQ-01A
hsa-mir-301b	2	0.669765	N	TCGA-V7-A7HQ-01A
hsa-mir-375	92599	31009.763828	N	TCGA-V7-A7HQ-01A
hsa-mir-429	395	132.278499	N	TCGA-V7-A7HQ-01A
hsa-mir-592	4	1.339529	N	TCGA-V7-A7HQ-01A
hsa-mir-190b	90	16.753836	N	TCGA-AR-A1AK-01A
hsa-mir-301b	9	1.675384	N	TCGA-AR-A1AK-01A
hsa-mir-375	20492	3814.662362	N	TCGA-AR-A1AK-01A
hsa-mir-429	173	32.204596	N	TCGA-AR-A1AK-01A
hsa-mir-592	48	8.935379	N	TCGA-AR-A1AK-01A
hsa-mir-190b	9	1.300449	N	TCGA-AC-A23H-01A
hsa-mir-301b	27	3.901346	N	TCGA-AC-A23H-01A
hsa-mir-375	524890	75843.604589	N	TCGA-AC-A23H-01A
hsa-mir-429	1008	145.650238	N	TCGA-AC-A23H-01A
hsa-mir-592	149	21.529648	N	TCGA-AC-A23H-01A
hsa-mir-190b	169	25.337031	N	TCGA-E2-A1IL-01A
hsa-mir-301b	1	0.149923	N	TCGA-E2-A1IL-01A
hsa-mir-375	100790	15110.765555	N	TCGA-E2-A1IL-01A
hsa-mir-429	873	130.883008	N	TCGA-E2-A1IL-01A
hsa-mir-592	38	5.697084	N	TCGA-E2-A1IL-01A
hsa-mir-190b	48	24.333589	N	TCGA-EW-A1IW-01A
hsa-mir-301b	0	0.0	N	TCGA-EW-A1IW-01A
hsa-mir-375	3023	1532.509168	N	TCGA-EW-A1IW-01A
hsa-mir-429	47	23.826639	N	TCGA-EW-A1IW-01A
hsa-mir-592	4	2.027799	N	TCGA-EW-A1IW-01A
hsa-mir-190b	84	37.296518	N	TCGA-BH-A0HO-01A
hsa-mir-301b	2	0.888012	N	TCGA-BH-A0HO-01A
hsa-mir-375	188079	83508.23476	N	TCGA-BH-A0HO-01A
hsa-mir-429	267	118.549645	N	TCGA-BH-A0HO-01A
hsa-mir-592	21	9.324129	N	TCGA-BH-A0HO-01A
hsa-mir-190b	7	1.102953	N	TCGA-E2-A1LE-01A
hsa-mir-301b	3	0.472694	N	TCGA-E2-A1LE-01A
hsa-mir-375	54313	8557.809133	N	TCGA-E2-A1LE-01A
hsa-mir-429	794	125.106336	N	TCGA-E2-A1LE-01A
hsa-mir-592	14	2.205905	N	TCGA-E2-A1LE-01A
hsa-mir-190b	46	28.521012	N	TCGA-B6-A0I9-01A
hsa-mir-301b	2	1.240044	N	TCGA-B6-A0I9-01A
hsa-mir-375	11001	6820.862004	N	TCGA-B6-A0I9-01A
hsa-mir-429	613	380.073485	N	TCGA-B6-A0I9-01A
hsa-mir-592	3	1.860066	N	TCGA-B6-A0I9-01A
hsa-mir-190b	17	14.03955	N	TCGA-AO-A03L-01A
hsa-mir-301b	0	0.0	N	TCGA-AO-A03L-01A
hsa-mir-375	221764	183145.10701	N	TCGA-AO-A03L-01A
hsa-mir-429	69	56.984057	N	TCGA-AO-A03L-01A
hsa-mir-592	4	3.303424	N	TCGA-AO-A03L-01A
hsa-mir-190b	0	0.0	N	TCGA-A7-A26F-01A
hsa-mir-301b	5	3.540317	N	TCGA-A7-A26F-01A
hsa-mir-375	8436	5973.22246	N	TCGA-A7-A26F-01A
hsa-mir-429	97	68.682145	N	TCGA-A7-A26F-01A
hsa-mir-592	2	1.416127	N	TCGA-A7-A26F-01A
hsa-mir-190b	17	11.674381	N	TCGA-A8-A0A6-01A
hsa-mir-301b	0	0.0	N	TCGA-A8-A0A6-01A
hsa-mir-375	135039	92735.10143	N	TCGA-A8-A0A6-01A
hsa-mir-429	76	52.19135	N	TCGA-A8-A0A6-01A
hsa-mir-592	1	0.686728	N	TCGA-A8-A0A6-01A
hsa-mir-190b	14	7.470029	N	TCGA-EW-A1P0-01A
hsa-mir-301b	4	2.134294	N	TCGA-EW-A1P0-01A
hsa-mir-375	14814	7904.358015	N	TCGA-EW-A1P0-01A
hsa-mir-429	294	156.870613	N	TCGA-EW-A1P0-01A
hsa-mir-592	3	1.600721	N	TCGA-EW-A1P0-01A
hsa-mir-190b	80	36.788459	N	TCGA-D8-A1XF-01A
hsa-mir-301b	4	1.839423	N	TCGA-D8-A1XF-01A
hsa-mir-375	7576	3483.867111	N	TCGA-D8-A1XF-01A
hsa-mir-429	304	139.796146	N	TCGA-D8-A1XF-01A
hsa-mir-592	58	26.671633	N	TCGA-D8-A1XF-01A
hsa-mir-190b	73	28.742953	N	TCGA-A8-A0AB-01A
hsa-mir-301b	1	0.393739	N	TCGA-A8-A0AB-01A
hsa-mir-375	27891	10981.776574	N	TCGA-A8-A0AB-01A
hsa-mir-429	223	87.803814	N	TCGA-A8-A0AB-01A
hsa-mir-592	8	3.149913	N	TCGA-A8-A0AB-01A
hsa-mir-190b	7	3.285139	N	TCGA-E9-A2JS-01A
hsa-mir-301b	2	0.938611	N	TCGA-E9-A2JS-01A
hsa-mir-375	286	134.221385	N	TCGA-E9-A2JS-01A
hsa-mir-429	488	229.021104	N	TCGA-E9-A2JS-01A
hsa-mir-592	6	2.815833	N	TCGA-E9-A2JS-01A
hsa-mir-190b	4	2.660151	N	TCGA-E9-A248-01A
hsa-mir-301b	9	5.98534	N	TCGA-E9-A248-01A
hsa-mir-375	104534	69519.057987	N	TCGA-E9-A248-01A
hsa-mir-429	450	299.266995	N	TCGA-E9-A248-01A
hsa-mir-592	7	4.655264	N	TCGA-E9-A248-01A
hsa-mir-190b	18	11.391208	N	TCGA-A8-A094-01A
hsa-mir-301b	16	10.125518	N	TCGA-A8-A094-01A
hsa-mir-375	29243	18506.283517	N	TCGA-A8-A094-01A
hsa-mir-429	387	244.910978	N	TCGA-A8-A094-01A
hsa-mir-592	21	13.289743	N	TCGA-A8-A094-01A
hsa-mir-190b	25	4.685744	N	TCGA-LL-A440-01A
hsa-mir-301b	0	0.0	N	TCGA-LL-A440-01A
hsa-mir-375	30169	5654.56845	N	TCGA-LL-A440-01A
hsa-mir-429	253	47.419729	N	TCGA-LL-A440-01A
hsa-mir-592	0	0.0	N	TCGA-LL-A440-01A
hsa-mir-190b	68	8.633218	N	TCGA-5L-AAT1-01A
hsa-mir-301b	1	0.126959	N	TCGA-5L-AAT1-01A
hsa-mir-375	179768	22823.181663	N	TCGA-5L-AAT1-01A
hsa-mir-429	400	50.783636	N	TCGA-5L-AAT1-01A
hsa-mir-592	21	2.666141	N	TCGA-5L-AAT1-01A
hsa-mir-190b	0	0.0	N	TCGA-OL-A5D7-01A
hsa-mir-301b	23	19.115787	N	TCGA-OL-A5D7-01A
hsa-mir-375	404	335.772951	N	TCGA-OL-A5D7-01A
hsa-mir-429	534	443.818703	N	TCGA-OL-A5D7-01A
hsa-mir-592	5	4.155606	N	TCGA-OL-A5D7-01A
hsa-mir-190b	36	5.894189	N	TCGA-E2-A3DX-01A
hsa-mir-301b	1	0.163727	N	TCGA-E2-A3DX-01A
hsa-mir-375	22788	3731.021327	N	TCGA-E2-A3DX-01A
hsa-mir-429	126	20.62966	N	TCGA-E2-A3DX-01A
hsa-mir-592	2	0.327455	N	TCGA-E2-A3DX-01A
hsa-mir-190b	2	0.879405	N	TCGA-A1-A0SB-01A
hsa-mir-301b	4	1.758809	N	TCGA-A1-A0SB-01A
hsa-mir-375	7501	3298.206982	N	TCGA-A1-A0SB-01A
hsa-mir-429	476	209.298297	N	TCGA-A1-A0SB-01A
hsa-mir-592	2	0.879405	N	TCGA-A1-A0SB-01A
hsa-mir-190b	68	42.394015	N	TCGA-BH-A18P-01A
hsa-mir-301b	1	0.623441	N	TCGA-BH-A18P-01A
